OrphaCode,DisorderName,DisabilityName,Frequency,Temporality,Severity,LossOfAbility,Type,Defined
894,Waardenburg Syndrome Type 1,Learning To Write,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Reading,Frequent,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Writing,Frequent,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Focusing Attention,Frequent,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Memorizing And Retrieving,Frequent,Permanent Limitation,Low,n,Disability,y
894,Waardenburg Syndrome Type 1,Receiving Spoken Messages,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Speaking,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Participating In A Conversation,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Using Communication Devices,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Hearing/Listening,Frequent,Permanent Limitation,Moderate,n,Disability,y
894,Waardenburg Syndrome Type 1,Acquiring Language,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Hearing/Listening,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Acquiring Language,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Learning To Read,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Learning To Write,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Reading,Very Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Writing,Very Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Focusing Attention,Very Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Memorizing And Retrieving,Very Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Receiving Spoken Messages,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Speaking,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Participating In A Conversation,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Using Communication Devices,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,"Managing One'S Health (Diet, Medications, Prevention, Needs, Assistance, Monitoring)",Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Using Transportation,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Interacting With Other People,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Attending Preschool,Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Attending Mainstream School,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Learning A Profession (Vocational Training/Apprenticeship) In The Standard Environment,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Accessing Higher Education,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Engaging In Paid Work In A Standard Environment,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Seeking Employment,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Performing Professional Tasks,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Carrying Out Administrative Procedures,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Taking Part In Community Life,Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Playing With Others,Frequent,Permanent Limitation,Low,n,Disability,y
895,Waardenburg Syndrome Type 2,Participating In The Arts And Cultural Activities,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Travelling,Frequent,Permanent Limitation,Moderate,n,Disability,y
895,Waardenburg Syndrome Type 2,Light Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
895,Waardenburg Syndrome Type 2,Light Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
895,Waardenburg Syndrome Type 2,Sound Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
895,Waardenburg Syndrome Type 2,Sound Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
895,Waardenburg Syndrome Type 2,Vibrations,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Hearing/Listening,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Acquiring Language,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Learning To Read,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Learning To Write,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Reading,Very Frequent,Permanent Limitation,Low,n,Disability,y
897,Waardenburg-Shah Syndrome,Writing,Very Frequent,Permanent Limitation,Low,n,Disability,y
897,Waardenburg-Shah Syndrome,Focusing Attention,Very Frequent,Permanent Limitation,Low,n,Disability,y
897,Waardenburg-Shah Syndrome,Memorizing And Retrieving,Very Frequent,Permanent Limitation,Low,n,Disability,y
897,Waardenburg-Shah Syndrome,Receiving Spoken Messages,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Speaking,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Participating In A Conversation,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Using Communication Devices,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,"Managing One'S Health (Diet, Medications, Prevention, Needs, Assistance, Monitoring)",Frequent,Permanent Limitation,Severe,n,Disability,y
897,Waardenburg-Shah Syndrome,Using Transportation,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Interacting With Other People,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Attending Preschool,Frequent,Permanent Limitation,Low,n,Disability,y
897,Waardenburg-Shah Syndrome,Attending Mainstream School,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Learning A Profession (Vocational Training/Apprenticeship) In The Standard Environment,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Accessing Higher Education,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Engaging In Paid Work In A Standard Environment,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Seeking Employment,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Performing Professional Tasks,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Carrying Out Administrative Procedures,Very Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Taking Part In Community Life,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Playing With Others,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Participating In The Arts And Cultural Activities,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Travelling,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Regulating Urination,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Regulating Defecation,Frequent,Permanent Limitation,Severe,n,Disability,y
897,Waardenburg-Shah Syndrome,Practicing Sports,Frequent,Permanent Limitation,Moderate,n,Disability,y
897,Waardenburg-Shah Syndrome,Light Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Light Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Sound Intensity,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Sound Quality,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Vibrations,Unknown,Unknown,Unknown,y,Environmental factor,n
897,Waardenburg-Shah Syndrome,Food,Unknown,Unknown,Unknown,y,Environmental factor,n
33226,Waldenström Macroglobulinemia,Moving Around Within The Home,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Moving Around Within The Home,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Moving Around Outside The Home,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Moving Around Outside The Home,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Using Transportation,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Using Transportation,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Work And Economic Life,Frequent,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Work And Economic Life,Frequent,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Engaging In Paid Work In A Standard Environment,Frequent,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Engaging In Paid Work In A Standard Environment,Frequent,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Engaging In Paid Work In A Supported/Sheltered Environment,Occasional,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Engaging In Paid Work In A Supported/Sheltered Environment,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Seeking Employment,Frequent,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Seeking Employment,Frequent,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Performing Professional Tasks,Frequent,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Performing Professional Tasks,Frequent,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Practicing Sports,Frequent,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Practicing Sports,Frequent,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Travelling,Occasional,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Travelling,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Seeing/Watching,Occasional,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Seeing/Watching,Occasional,Transient Limitation,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Seeing/Watching,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Learning,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Learning,Occasional,Transient Limitation,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Learning,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Applying Knowledge,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Applying Knowledge,Occasional,Transient Limitation,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Applying Knowledge,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Calculating,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Calculating,Occasional,Transient Limitation,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Calculating,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Focusing Attention,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Focusing Attention,Occasional,Transient Limitation,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Focusing Attention,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Making Decisions/Taking Initiatives/Finding Solutions,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Making Decisions/Taking Initiatives/Finding Solutions,Occasional,Transient Limitation,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Making Decisions/Taking Initiatives/Finding Solutions,Occasional,Permanent Limitation,Low,y,Disability,y
33226,Waldenström Macroglobulinemia,Maintaining Body Position,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Maintaining Body Position,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Maintaining A Standing Position,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Maintaining A Standing Position,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Walking Short Distances,Occasional,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,Walking Short Distances,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,Walking Long Distances,Occasional,Acquisition Delay,Unspecified,n,Disability,y
33226,Waldenström Macroglobulinemia,Walking Long Distances,Occasional,Permanent Limitation,Unspecified,y,Disability,y
33226,Waldenström Macroglobulinemia,"Performing Vigorous Activities (Climbing, Running, Jumping, Swimming,...)",Frequent,Acquisition Delay,Low,n,Disability,y
33226,Waldenström Macroglobulinemia,"Performing Vigorous Activities (Climbing, Running, Jumping, Swimming,...)",Frequent,Permanent Limitation,Moderate,y,Disability,y
3449,Weill-Marchesani Syndrome,Seeing/Watching,Frequent,Permanent Limitation,Unspecified,n,Disability,y
3449,Weill-Marchesani Syndrome,Hearing/Listening,Occasional,Permanent Limitation,Unspecified,n,Disability,y
3449,Weill-Marchesani Syndrome,Reaching And Catching Objects,Frequent,Permanent Limitation,Moderate,n,Disability,y
3449,Weill-Marchesani Syndrome,Reaching And Catching Objects,Frequent,Permanent Limitation,Severe,n,Disability,y
3449,Weill-Marchesani Syndrome,Handling Objects (Fine Hand Use),Frequent,Permanent Limitation,Moderate,n,Disability,y
3449,Weill-Marchesani Syndrome,Handling Objects (Fine Hand Use),Frequent,Permanent Limitation,Severe,n,Disability,y
3449,Weill-Marchesani Syndrome,Walking Long Distances,Occasional,Permanent Limitation,Moderate,n,Disability,y
3449,Weill-Marchesani Syndrome,Humidity,Unknown,Unknown,Unknown,y,Environmental factor,n
